category,name,search_query
Hospital,Dr. Sardjito General Hospital,Dr. Sardjito General Hospital Yogyakarta
Hospital,Panti Rapih Hospital,Panti Rapih Hospital Yogyakarta
Hospital,JIH Hospital,JIH Hospital Yogyakarta
Hospital,Siloam Hospitals Yogyakarta,Siloam Hospitals Yogyakarta
Hospital,Bethesda Hospital Yogyakarta,Bethesda Hospital Yogyakarta
Hospital,Rumah Sakit Umum Daerah (RSUD) Kota Yogyakarta,RSUD Kota Yogyakarta
Public Health Center,Umbulharjo Public Health Center 1,Umbulharjo Public Health Center 1 Yogyakarta
Public Health Center,Puskesmas Piyungan,Puskesmas Piyungan Yogyakarta
Transportation,Terminal Giwangan Yogyakarta,Terminal Giwangan Yogyakarta
Transportation,Terminal Ngabean,Terminal Ngabean Yogyakarta
Transportation,Stasiun Tugu Yogyakarta,Stasiun Tugu Yogyakarta
Transportation,Lempuyangan Station,Lempuyangan Station Yogyakarta
Government Office,Office of the Mayor of Yogyakarta,Office of the Mayor of Yogyakarta
Government Office,Special Region of Yogyakarta Governor's Office,Special Region of Yogyakarta Governor's Office
Government Office,Regional Office of National Land Agency Special Region of Yogyakarta,Regional Office of National Land Agency Special Region of Yogyakarta
Government Office,Yogyakarta State Finance Building,Yogyakarta State Finance Building
Public Park,Gajah Wong Educational Park,Gajah Wong Educational Park Yogyakarta
Public Park,Wisdom Park Gadjah Mada University,Wisdom Park Gadjah Mada University
Public Park,SKE CITY PARK,SKE CITY PARK Yogyakarta
Public Park,Lembah UGM - Gadjah Mada University,Lembah UGM Gadjah Mada University